idx,dist_to_deck_m,velocity_mm_yr,sigma_v,height_dh_m,sigma_dh,thermal_mm_per_C,sigma_thermal,temporal_coherence,asi,is_ps
158,352.3,-0.459,0.312,9.77,5.34,-0.0822,0.0642,0.3217,,0
159,678.2,0.797,0.311,-209.22,5.33,-0.6265,0.0641,0.4717,,1
160,116.3,1.416,0.368,-146.3,6.31,-0.2095,0.0758,0.3243,,0
161,118.5,0.726,0.471,-150.91,8.07,-0.0645,0.097,0.1775,,0
162,133.8,0.718,0.337,-135.34,5.77,-0.1629,0.0694,0.3502,,1
163,272.3,1.283,0.416,-125.15,7.13,-0.0379,0.0857,0.3259,,0
164,356.6,0.254,0.305,-15.65,5.23,0.122,0.0628,0.3538,,1
165,194.7,1.694,0.379,-131.64,6.49,0.0633,0.078,0.277,,0
166,638.5,-0.017,0.295,-203.43,5.06,-0.7161,0.0608,0.4335,,1
167,686.0,-0.002,0.53,0.46,9.08,0.2079,0.1092,0.2037,,0
168,290.5,0.839,0.406,-124.83,6.96,-0.1238,0.0836,0.2802,,0
169,536.1,0.702,0.317,-212.02,5.44,-0.6216,0.0653,0.4367,,1
170,311.5,0.577,0.729,-157.98,12.49,-0.5176,0.1501,0.2182,,0
171,387.3,0.045,0.248,5.61,4.26,0.0408,0.0512,0.7708,,1
172,376.7,0.674,0.352,-18.15,6.04,-0.4067,0.0726,0.4279,,1
173,526.3,0.423,0.486,-207.67,8.33,-0.4237,0.1001,0.0254,,0
174,281.4,0.912,0.37,-120.82,6.34,-0.0858,0.0762,0.3536,,1
175,212.9,1.113,0.377,-139.04,6.46,0.0449,0.0776,0.2396,,0
176,535.4,0.719,0.523,-199.32,8.97,-0.5256,0.1078,0.1879,,0
177,124.7,0.456,0.339,-138.84,5.81,-0.2021,0.0698,0.313,,0
178,707.9,-0.237,0.547,-18.69,9.38,0.0449,0.1127,0.1828,,0
179,480.0,0.22,0.38,-195.49,6.52,-0.4738,0.0784,0.4347,,1
180,458.0,-0.169,0.23,-1.9,3.94,0.2229,0.0473,0.7514,,1
181,316.4,1.531,0.416,-134.24,7.13,-0.2898,0.0856,0.136,,0
182,674.0,-0.337,0.685,12.97,11.75,0.1871,0.1411,0.0221,,0
183,299.7,1.537,0.38,-145.23,6.51,-0.1861,0.0782,0.4236,,1
184,257.0,1.735,0.256,-131.89,4.39,-0.1147,0.0528,0.4772,,1
185,368.3,0.112,0.191,-13.62,3.26,-0.3285,0.0392,0.7116,,1
186,404.8,-0.242,0.228,-17.43,3.91,0.085,0.047,0.727,,1
187,50.3,2.251,0.626,-180.49,10.72,-0.326,0.1288,0.112,,0
188,493.0,-0.24,0.276,2.35,4.73,0.1138,0.0569,0.6698,,1
189,295.5,-0.753,0.292,-30.69,5.01,-0.441,0.0602,0.6465,,1
190,497.5,0.751,0.298,-199.83,5.11,-0.5615,0.0614,0.4805,,1
191,255.0,0.282,0.24,-23.45,4.11,-0.3407,0.0494,0.6143,,1
192,142.2,1.523,0.34,-130.52,5.83,-0.1843,0.07,0.2879,,0
193,185.6,1.999,0.422,-136.66,7.22,0.0469,0.0868,0.1476,,0
194,78.6,-0.734,0.471,13.29,8.07,-0.0981,0.0969,0.2993,,0
195,298.9,1.613,0.406,-123.81,6.97,0.0238,0.0837,0.2755,,0
196,47.2,0.026,0.909,-112.61,15.58,-0.0308,0.1872,0.0672,,0
197,273.2,0.772,0.913,-160.84,15.65,-0.5811,0.1881,0.0956,,0
198,319.2,0.952,0.673,-155.21,11.53,-0.4813,0.1386,0.2388,,0
199,126.9,0.539,0.418,-137.62,7.17,-0.1809,0.0862,0.197,,0
200,289.8,1.513,0.4,-121.52,6.85,0.0301,0.0823,0.2953,,0
201,369.1,0.172,0.295,-0.66,5.06,-0.1044,0.0608,0.7152,,1
202,665.6,-0.865,0.605,8.34,10.36,0.1239,0.1245,0.1095,,0
203,109.4,1.218,0.441,-158.27,7.56,-0.2086,0.0909,0.277,,0
204,117.8,1.016,0.47,-155.07,8.06,-0.1716,0.0969,0.1444,,0
205,585.5,-1.05,0.877,-165.56,15.03,-0.6591,0.1806,0.1712,,0
206,467.8,-0.068,0.212,-6.64,3.63,0.2653,0.0436,0.7857,,1
207,651.6,0.979,0.312,-203.16,5.35,-0.5868,0.0642,0.4168,,1
208,452.5,-0.321,0.24,-10.87,4.1,0.034,0.0493,0.718,,1
209,168.8,1.319,0.347,-112.6,5.95,-0.0234,0.0715,0.3743,,1
210,505.9,0.975,0.35,-192.2,6.0,-0.5731,0.0721,0.3501,,1
211,280.9,-0.943,0.36,-9.44,6.16,-0.2505,0.0741,0.5416,,1
212,656.5,-0.443,0.477,2.48,8.17,0.1161,0.0981,0.4895,,1
213,449.6,-0.195,0.304,-0.88,5.2,0.1228,0.0625,0.5951,,1
214,351.6,-0.433,0.466,-7.08,7.99,-0.1914,0.0961,0.1829,,0
215,457.3,0.198,0.263,9.22,4.51,0.2523,0.0541,0.7023,,1
216,418.4,0.695,0.274,-210.89,4.7,-0.6057,0.0565,0.4764,,1
217,186.3,1.958,0.417,-131.05,7.14,0.069,0.0858,0.2936,,0
218,380.4,-0.472,0.216,-3.17,3.7,0.1478,0.0445,0.7105,,1
219,404.1,0.26,0.208,-0.29,3.57,0.1316,0.0429,0.8219,,1
220,441.2,-0.066,0.183,-14.98,3.13,0.174,0.0376,0.7655,,1
221,58.6,0.783,0.727,-171.76,12.45,-0.3196,0.1496,0.0741,,0
222,347.5,0.608,0.397,-8.13,6.8,0.0274,0.0817,0.2546,,0
223,313.0,0.038,0.394,-30.84,6.75,-0.5178,0.0811,0.4808,,1
224,336.0,1.692,0.569,-172.99,9.76,-0.5169,0.1172,0.3184,,0
225,264.1,0.731,0.9,-161.38,15.42,-0.6344,0.1853,0.0607,,0
226,23.9,0.525,0.941,-97.76,16.12,0.1518,0.1937,0.0427,,0
227,539.3,0.661,0.266,3.22,4.55,-0.0613,0.0547,0.6881,,1
228,675.5,-0.443,0.554,1.56,9.49,0.1169,0.1141,0.2731,,0
229,556.0,0.289,0.501,8.4,8.59,0.1277,0.1032,0.3488,,0
230,5.7,-0.354,0.946,-87.33,16.21,0.1039,0.1948,0.0263,,0
231,547.7,-0.26,0.386,-0.61,6.62,-0.0608,0.0796,0.3073,,0
232,203.1,2.099,0.329,-123.07,5.63,-0.1277,0.0677,0.295,,0
233,521.8,-0.111,0.278,-9.8,4.77,-0.0221,0.0573,0.6417,,1
234,345.8,1.012,0.565,-163.63,9.69,-0.3856,0.1164,0.3543,,1
235,565.1,0.604,0.579,8.3,9.93,0.0354,0.1193,0.3759,,1
236,659.3,0.522,0.329,-219.59,5.64,-0.684,0.0678,0.3634,,1
237,327.6,0.716,0.574,-165.36,9.85,-0.3378,0.1183,0.3355,,0
238,556.8,0.516,0.399,5.15,6.84,0.0919,0.0822,0.3915,,1
239,696.6,-0.002,0.583,-8.53,10.0,0.2801,0.1201,0.0464,,0
240,346.2,2.342,0.467,-211.76,8.0,-0.6692,0.0962,0.1485,,0
241,396.4,0.924,0.231,4.75,3.97,0.1416,0.0477,0.6912,,1
242,374.1,-0.447,0.328,-34.78,5.62,0.0063,0.0676,0.5164,,1
243,336.7,1.022,0.572,-163.36,9.81,-0.2896,0.1179,0.3863,,1
244,338.1,0.197,0.776,-170.7,13.29,-0.6406,0.1597,0.1331,,0
245,110.1,1.569,0.542,-156.48,9.29,-0.227,0.1116,0.1024,,0
246,630.1,0.982,0.439,-188.07,7.52,-0.6326,0.0904,0.177,,0
247,577.1,-1.295,0.951,-156.59,16.29,-0.5924,0.1958,0.1153,,0
248,167.4,1.62,0.389,-123.18,6.67,-0.1179,0.0801,0.2975,,0
249,52.3,-1.147,0.608,4.14,10.41,-0.3128,0.1251,0.2707,,0
250,769.7,0.318,0.689,-46.94,11.81,0.2252,0.1419,0.1317,,0
251,320.6,0.477,0.711,-163.85,12.19,-0.6074,0.1465,0.2452,,0
252,2.7,0.111,0.947,-86.6,16.24,0.1445,0.1951,0.0448,,0
253,415.4,-0.259,0.201,-28.1,3.45,0.0556,0.0415,0.7183,,1
254,37.4,0.614,0.948,-106.79,16.25,-0.0303,0.1953,0.0205,,0
255,621.0,0.202,0.484,-198.69,8.29,-0.6311,0.0996,0.1173,,0
256,14.1,-0.439,1.002,-90.55,17.17,0.3695,0.2063,0.0762,,0
257,22.2,1.942,0.563,-187.5,9.65,-0.1833,0.1159,0.2184,,0
258,360.0,0.227,0.249,-13.24,4.26,-0.2195,0.0512,0.5333,,1
259,548.4,0.664,0.273,-0.79,4.68,0.0012,0.0562,0.6854,,1
260,150.4,-0.717,0.869,-40.69,14.9,-0.2731,0.179,0.0497,,0
261,287.1,-1.268,0.442,-17.05,7.58,-0.4445,0.0911,0.2686,,0
262,665.1,0.645,0.292,-183.89,5.01,-0.4901,0.0602,0.3989,,1
263,377.5,-0.058,0.193,-12.99,3.3,-0.3505,0.0397,0.7053,,1
264,386.6,1.081,0.243,10.85,4.17,0.0735,0.0501,0.6366,,1
265,6.4,0.123,0.942,-87.35,16.14,0.1668,0.194,0.0147,,0
266,576.4,-0.914,0.893,-171.63,15.3,-0.6569,0.1838,0.0585,,0
267,652.3,1.035,0.314,-209.34,5.38,-0.7665,0.0647,0.4366,,1
268,146.7,-0.181,0.25,23.72,4.28,-0.231,0.0514,0.776,,1
269,508.8,0.553,0.42,-220.67,7.21,-0.7491,0.0866,0.1102,,0
270,265.4,1.682,0.437,-128.43,7.48,-0.022,0.0899,0.1106,,0
271,544.5,0.162,0.495,-199.46,8.49,-0.7285,0.102,0.1834,,0
272,24.5,-1.209,0.811,-26.26,13.89,-0.2171,0.1669,0.0604,,0
273,11.5,-0.039,0.426,-7.7,7.31,-0.2276,0.0878,0.5415,,1
274,368.6,-0.396,0.626,11.3,10.73,-0.0684,0.1289,0.0721,,0
275,390.2,-0.86,0.398,-12.47,6.83,0.0663,0.082,0.5316,,1
276,470.9,-0.14,0.575,-203.95,9.86,-0.465,0.1185,0.2098,,0
277,187.2,0.987,0.433,15.92,7.42,-0.0091,0.0891,0.2053,,0
278,513.4,-1.766,0.388,-2.0,6.65,-0.0767,0.0799,0.3624,,1
279,159.7,1.012,0.41,-99.4,7.03,-0.1319,0.0845,0.2481,,0
280,395.7,0.72,0.22,7.78,3.78,0.1254,0.0454,0.73,,1
281,291.3,1.633,0.432,-140.98,7.41,-0.039,0.089,0.1632,,0
282,413.9,-0.053,0.191,4.14,3.28,0.1059,0.0394,0.7588,,1
283,374.9,-0.047,0.397,-30.55,6.8,0.1414,0.0817,0.5371,,1
284,312.3,1.343,0.801,-165.56,13.73,-0.6391,0.165,0.1186,,0
285,530.9,-0.31,0.299,-6.23,5.12,0.0519,0.0615,0.5736,,1
286,594.6,-0.78,0.87,-169.17,14.91,-0.6565,0.1792,0.1699,,0
287,496.6,-0.18,0.315,-12.3,5.39,0.1528,0.0648,0.5129,,1
288,108.7,1.337,0.482,-157.29,8.25,-0.1727,0.0992,0.1096,,0
289,403.6,-1.213,0.484,7.26,8.29,-0.1407,0.0997,0.7256,,1
290,536.8,0.378,0.378,-214.95,6.48,-0.6902,0.0779,0.2187,,0
291,603.0,-0.63,0.886,-177.02,15.19,-0.6194,0.1825,0.174,,0
292,326.9,1.977,0.584,-176.67,10.01,-0.4532,0.1203,0.3571,,1
293,486.1,-0.411,0.293,-10.84,5.03,0.1134,0.0604,0.615,,1
294,195.4,1.87,0.389,-128.09,6.66,0.0827,0.08,0.3058,,0
295,162.6,1.633,0.336,-151.34,5.75,-0.1345,0.0691,0.3743,,1
296,495.2,-0.013,0.277,-1.94,4.75,0.0317,0.0571,0.7704,,1
297,76.7,0.178,0.265,14.57,4.55,-0.3344,0.0547,0.768,,1
298,759.9,-0.183,0.589,-41.89,10.09,0.3528,0.1212,0.2021,,0
299,647.4,-0.38,0.469,2.06,8.04,0.1624,0.0967,0.5831,,1
300,695.1,-0.169,0.629,3.64,10.78,0.1781,0.1295,0.1699,,0
301,517.1,0.213,0.296,-209.99,5.08,-0.5093,0.061,0.4505,,1
302,558.4,1.248,0.39,-209.58,6.69,-0.6538,0.0804,0.2385,,0
303,273.1,0.825,0.378,-121.95,6.48,0.0197,0.0779,0.3139,,0
304,593.9,-1.184,0.958,-177.75,16.42,-0.6364,0.1974,0.1398,,0
305,147.4,0.777,0.425,3.83,7.29,-0.2674,0.0876,0.2524,,0
306,85.1,1.055,0.319,17.54,5.47,-0.2214,0.0657,0.5694,,1
307,289.0,0.635,0.732,-194.27,12.55,-0.7671,0.1508,0.0786,,0
308,56.5,0.777,1.306,-49.97,22.39,-0.0172,0.2691,0.0821,,0
309,586.3,-1.314,0.931,-144.74,15.95,-0.6012,0.1917,0.1069,,0
310,157.0,-0.595,0.494,-30.21,8.47,-0.3295,0.1018,0.5491,,1
311,204.7,0.234,0.352,9.49,6.04,-0.1572,0.0725,0.3743,,1
312,76.0,0.521,0.285,23.39,4.89,-0.39,0.0587,0.695,,1
313,148.6,0.122,0.563,-22.47,9.64,-0.2712,0.1159,0.2494,,0
314,196.3,0.459,0.363,4.3,6.23,-0.197,0.0749,0.5511,,1
315,705.7,-1.009,0.604,5.69,10.36,0.2064,0.1244,0.1432,,0
316,129.2,0.087,0.27,10.83,4.63,-0.2412,0.0557,0.666,,1
317,136.9,0.216,0.252,22.58,4.32,-0.2513,0.052,0.6923,,1
318,100.3,1.182,0.476,-159.48,8.17,-0.1779,0.0981,0.2654,,0
319,264.8,0.129,0.972,-156.85,16.65,-0.4812,0.2001,0.1107,,0
320,405.7,0.14,0.305,-208.02,5.23,-0.6357,0.0628,0.3916,,1
